sub	sess	t	cond	loc	prob	tgt
1	1	999	3	12	999	94
1	1	999	3	15	999	22
1	1	999	3	10	999	57
1	1	999	3	11	999	41
1	1	999	3	15	999	61
1	1	1	1	4	2.500000e-01	33
1	1	2	1	4	2.500000e-01	31
1	1	3	1	15	2.500000e-01	99
1	1	4	1	6	2.500000e-01	74
1	1	5	1	15	2.500000e-01	94
1	1	6	1	4	2.500000e-01	34
1	1	7	1	6	2.500000e-01	6
1	1	8	1	4	2.500000e-01	11
1	1	9	1	15	2.500000e-01	59
1	1	10	1	4	2.500000e-01	22
1	1	11	1	9	2.500000e-01	56
1	1	12	1	4	2.500000e-01	92
1	1	13	1	6	2.500000e-01	19
1	1	14	1	6	2.500000e-01	38
1	1	15	1	6	2.500000e-01	90
1	1	16	1	4	2.500000e-01	87
1	1	17	1	6	2.500000e-01	82
1	1	18	1	9	2.500000e-01	38
1	1	19	1	4	2.500000e-01	48
1	1	20	1	6	2.500000e-01	80
1	1	21	1	15	2.500000e-01	58
1	1	22	1	4	2.500000e-01	65
1	1	23	1	6	2.500000e-01	54
1	1	24	1	6	2.500000e-01	25
1	1	25	1	6	2.500000e-01	49
1	1	26	1	9	2.500000e-01	16
1	1	27	1	15	2.500000e-01	56
1	1	28	1	4	2.500000e-01	11
1	1	29	1	4	2.500000e-01	47
1	1	30	1	9	2.500000e-01	34
1	1	31	1	9	2.500000e-01	92
1	1	32	1	15	2.500000e-01	100
1	1	33	1	6	2.500000e-01	26
1	1	34	1	15	2.500000e-01	61
1	1	35	1	6	2.500000e-01	68
1	1	36	1	9	2.500000e-01	98
1	1	37	1	6	2.500000e-01	9
1	1	38	1	15	2.500000e-01	72
1	1	39	1	6	2.500000e-01	53
1	1	40	1	15	2.500000e-01	54
1	1	41	1	9	2.500000e-01	13
1	1	42	1	4	2.500000e-01	29
1	1	43	1	15	2.500000e-01	24
1	1	44	1	6	2.500000e-01	52
1	1	45	1	9	2.500000e-01	10
1	1	46	1	9	2.500000e-01	72
1	1	47	1	4	2.500000e-01	8
1	1	48	1	9	2.500000e-01	82
1	1	49	1	6	2.500000e-01	23
1	1	50	1	4	2.500000e-01	63
1	1	51	1	15	2.500000e-01	100
1	1	52	1	4	2.500000e-01	85
1	1	53	1	6	2.500000e-01	93
1	1	54	1	9	2.500000e-01	90
1	1	55	1	6	2.500000e-01	7
1	1	56	1	4	2.500000e-01	49
1	1	57	1	4	2.500000e-01	70
1	1	58	1	4	2.500000e-01	95
1	1	59	1	6	2.500000e-01	70
1	1	60	1	6	2.500000e-01	52
1	1	61	1	9	2.500000e-01	48
1	1	62	1	15	2.500000e-01	26
1	1	63	1	6	2.500000e-01	3
1	1	64	1	9	2.500000e-01	30
1	1	65	1	15	2.500000e-01	21
1	1	66	1	6	2.500000e-01	72
1	1	67	1	15	2.500000e-01	17
1	1	68	1	6	2.500000e-01	23
1	1	69	1	15	2.500000e-01	38
1	1	70	1	15	2.500000e-01	79
1	1	71	1	15	2.500000e-01	79
1	1	72	1	9	2.500000e-01	79
1	1	73	1	9	2.500000e-01	64
1	1	74	1	15	2.500000e-01	24
1	1	75	1	6	2.500000e-01	5
1	1	76	1	15	2.500000e-01	25
1	1	77	1	6	2.500000e-01	31
1	1	78	1	6	2.500000e-01	87
1	1	79	1	9	2.500000e-01	51
1	1	80	1	4	2.500000e-01	38
1	1	81	1	6	2.500000e-01	81
1	1	82	1	4	2.500000e-01	77
1	1	83	1	9	2.500000e-01	44
1	1	84	1	6	2.500000e-01	86
1	1	85	1	15	2.500000e-01	95
1	1	86	1	15	2.500000e-01	90
1	1	87	1	15	2.500000e-01	30
1	1	88	1	4	2.500000e-01	85
1	1	89	1	6	2.500000e-01	90
1	1	90	1	4	2.500000e-01	71
1	1	91	1	9	2.500000e-01	15
1	1	92	1	9	2.500000e-01	3
1	1	93	1	4	2.500000e-01	46
1	1	94	1	4	2.500000e-01	35
1	1	95	1	6	2.500000e-01	22
1	1	96	1	15	2.500000e-01	17
1	1	97	1	4	2.500000e-01	48
1	1	98	1	9	2.500000e-01	71
1	1	99	1	6	2.500000e-01	93
1	1	100	1	4	2.500000e-01	62
1	1	101	1	9	2.500000e-01	94
1	1	102	1	15	2.500000e-01	77
1	1	103	1	6	2.500000e-01	85
1	1	104	1	4	2.500000e-01	54
1	1	105	1	15	2.500000e-01	86
1	1	106	1	6	2.500000e-01	52
1	1	107	1	6	2.500000e-01	85
1	1	108	1	6	2.500000e-01	25
1	1	109	1	4	2.500000e-01	97
1	1	110	1	15	2.500000e-01	40
1	1	111	1	9	2.500000e-01	18
1	1	112	1	6	2.500000e-01	1
1	1	113	1	9	2.500000e-01	12
1	1	114	1	15	2.500000e-01	40
1	1	115	1	6	2.500000e-01	11
1	1	116	1	9	2.500000e-01	86
1	1	117	1	9	2.500000e-01	99
1	1	118	1	9	2.500000e-01	65
1	1	119	1	15	2.500000e-01	84
1	1	120	1	6	2.500000e-01	78
1	1	121	1	9	2.500000e-01	22
1	1	122	1	6	2.500000e-01	14
1	1	123	1	6	2.500000e-01	6
1	1	124	1	4	2.500000e-01	73
1	1	125	1	6	2.500000e-01	25
1	1	126	1	6	2.500000e-01	31
1	1	127	1	4	2.500000e-01	17
1	1	128	1	6	2.500000e-01	2
1	1	129	1	4	2.500000e-01	14
1	1	130	1	6	2.500000e-01	66
1	1	131	1	9	2.500000e-01	16
1	1	132	1	9	2.500000e-01	24
1	1	133	1	6	2.500000e-01	45
1	1	134	1	4	2.500000e-01	17
1	1	135	1	4	2.500000e-01	69
1	1	136	1	4	2.500000e-01	21
1	1	137	1	9	2.500000e-01	90
1	1	138	1	15	2.500000e-01	7
1	1	139	1	9	2.500000e-01	11
1	1	140	1	6	2.500000e-01	59
1	1	141	1	6	2.500000e-01	63
1	1	142	1	4	2.500000e-01	51
1	1	143	1	9	2.500000e-01	29
1	1	144	1	9	2.500000e-01	32
1	1	145	1	9	2.500000e-01	57
1	1	146	1	4	2.500000e-01	48
1	1	147	1	9	2.500000e-01	73
1	1	148	1	6	2.500000e-01	3
1	1	149	1	4	2.500000e-01	59
1	1	150	1	6	2.500000e-01	6
1	1	151	1	15	2.500000e-01	33
1	1	152	1	9	2.500000e-01	60
1	1	153	1	4	2.500000e-01	98
1	1	154	1	15	2.500000e-01	40
1	1	155	1	15	2.500000e-01	36
1	1	156	1	15	2.500000e-01	18
1	1	157	1	15	2.500000e-01	4
1	1	158	1	15	2.500000e-01	11
1	1	159	1	4	2.500000e-01	70
1	1	160	1	15	2.500000e-01	66
1	1	161	1	4	2.500000e-01	34
1	1	162	1	4	2.500000e-01	14
1	1	163	1	6	2.500000e-01	25
1	1	164	1	6	2.500000e-01	87
1	1	165	1	6	2.500000e-01	44
1	1	166	1	4	2.500000e-01	48
1	1	167	1	6	2.500000e-01	78
1	1	168	1	6	2.500000e-01	44
1	1	169	1	15	2.500000e-01	28
1	1	170	1	15	2.500000e-01	51
1	1	171	1	6	2.500000e-01	48
1	1	172	1	4	2.500000e-01	3
1	1	173	1	15	2.500000e-01	10
1	1	174	1	15	2.500000e-01	25
1	1	175	1	15	2.500000e-01	24
1	1	176	1	4	2.500000e-01	37
1	1	177	1	4	2.500000e-01	34
1	1	178	1	15	2.500000e-01	75
1	1	179	1	6	2.500000e-01	58
1	1	180	1	6	2.500000e-01	74
1	1	181	1	15	2.500000e-01	3
1	1	182	1	4	2.500000e-01	24
1	1	183	1	15	2.500000e-01	41
1	1	184	1	6	2.500000e-01	1
1	1	185	1	6	2.500000e-01	3
1	1	186	1	6	2.500000e-01	43
1	1	187	1	4	2.500000e-01	38
1	1	188	1	4	2.500000e-01	56
1	1	189	1	15	2.500000e-01	19
1	1	190	1	6	2.500000e-01	91
1	1	191	1	4	2.500000e-01	75
1	1	192	1	9	2.500000e-01	24
1	1	193	1	15	2.500000e-01	56
1	1	194	1	9	2.500000e-01	62
1	1	195	1	6	2.500000e-01	81
1	1	196	1	9	2.500000e-01	69
1	1	197	1	9	2.500000e-01	34
1	1	198	1	9	2.500000e-01	70
1	1	199	1	4	2.500000e-01	44
1	1	200	1	4	2.500000e-01	95
